,Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,SA12018_code,NZDep2018,NZDep2018_Score,URPopnSA1_2018,SA22018_code,SA22018_name
36,3,2.0,"28 Tiraumea Drive Pakuranga, Auckland",1034,1120000,-36.9176375,174.86966619999998,7008696,90,48,51,27,36,36,Pakuranga,222,7008696,9.0,1097.0,282,149000,Pakuranga West
37,3,1.0,"47 Frank Street Oneroa, Auckland",1295,850000,-36.7850631,175.0278712,7003352,30,12,9,15,18,33,Oneroa,90,7003352,6.0,984.0,123,146900,Oneroa East-Palm Beach
38,3,2.0,"52a Sunnyside Road Sunnyvale, Auckland",1102,930000,-36.8970908,174.6382264,7004023,51,15,24,21,12,24,Sunnyvale,138,7004023,9.0,1075.0,153,129100,Sunnyvale East
39,3,2.0,"21 Capriana Drive Karaka, Auckland",551,1025000,-37.0639294,174.9194913,7009992,51,21,30,21,18,36,Karaka,63,7009992,2.0,914.0,177,162500,Hingaia
40,3,1.0,"21 Overton Road Papatoetoe, Auckland",809,930000,-36.9710412,174.8693896,7008633,54,42,39,21,27,36,Papatoetoe,228,7008633,9.0,1069.0,225,155600,Papatoetoe East
41,2,1.0,"1a Herd Road Hillsborough, Auckland",1108,1225000,-36.916308,174.7598366,7007765,39,39,30,24,24,33,Hillsborough,171,7007765,3.0,935.0,189,142000,Hillsborough North (Auckland)
42,6,3.0,"45 Kensington Terrace Gulf Harbour, Auckland",745,1100000,-36.6089222,174.785329,7001675,75,12,30,51,24,42,Gulf Harbour,198,7001675,1.0,895.0,234,115700,Gulf Harbour North
43,5,3.0,"15 Harapaki Road Meadowbank, Auckland",613,1925000,-36.870046200000004,174.8251511,7006190,69,12,42,45,18,18,Meadowbank,189,7006190,1.0,875.0,201,141900,Meadowbank West
44,3,1.0,"25c Pleasant Street Onehunga, Auckland",758,990000,-36.9198143,174.77225280000002,7007820,33,9,18,21,21,6,Onehunga,102,7007820,2.0,918.0,114,144100,Onehunga West
45,4,2.0,"40 Rushgreen Avenue Pahurehure, Auckland",727,920000,-37.0648902,174.9286899,7009998,48,21,18,18,39,33,Pahurehure,183,7009998,1.0,895.0,174,163100,Pahurehure
46,2,1.0,"A/18a Holly Street Avondale, Auckland",59,600000,-36.8900779,174.69238700000002,7004387,57,42,33,21,21,21,Avondale,177,7004387,8.0,1030.0,195,132000,Avondale North (Auckland)
47,4,2.0,"26A Holly Street, Auckland",260 mÂ²,1025000,-36.8896313,174.69248480000002,7004387,57,42,33,21,21,21,Avondale,177,7004387,8.0,1030.0,195,132000,Avondale North (Auckland)
48,3,2.0,"21b Marr Road Manurewa, Auckland",126,630000,-37.0152515,174.88048799999999,7009541,60,36,30,9,18,6,Manurewa,108,7009541,10.0,1151.0,162,159100,Homai East
49,3,1.0,"13 Sandringham Road Mount Eden, Auckland",615,1575000,-36.8727657,174.7460271,7005166,27,75,33,24,15,18,Mount Eden,168,7005166,6.0,997.0,189,136200,Eden Park
50,4,2.0,"40 Goodwood Drive Goodwood Heights, Auckland",756,1050000,-36.9931422,174.9036367,7009731,75,45,42,27,39,66,Goodwood Heights,267,7009731,4.0,951.0,288,158500,Goodwood Heights
51,4,1.0,"50 Arthur Street Manurewa, Auckland",3609,1380000,-37.0172546,174.90741519999997,7009861,63,27,39,30,6,24,Manurewa,153,7009861,6.0,978.0,189,160300,Hillpark South
52,3,2.0,"3 Manuka Road Oneroa, Auckland",809,830000,-36.7867738,175.01150239999998,7003341,18,6,9,21,21,42,Oneroa,120,7003341,4.0,945.0,132,144600,Oneroa West
53,3,1.0,"160 Gowing Drive Meadowbank, Auckland",431,940000,-36.8688531,174.8403044,7006318,48,45,27,30,27,21,Meadowbank,198,7006318,2.0,914.0,201,143200,Meadowbank East
54,4,2.0,"4 Helios Place Titirangi, Auckland",3648,1520000,-36.9507221,174.64134030000002,7007223,51,21,15,39,27,27,Titirangi,156,7007223,2.0,903.0,180,134600,Waima-Woodlands Park
55,4,3.0,"1 Landing Road Titirangi, Auckland",3177,1400000,-36.9499586,174.64297019999998,7007223,51,21,15,39,27,27,Titirangi,156,7007223,2.0,903.0,180,134600,Waima-Woodlands Park
56,5,3.0,"29b Rukutai Street Orakei, Auckland",545,1725000,-36.8581658,174.8281687,7006178,39,39,33,24,27,27,Orakei,174,7006178,4.0,950.0,189,141100,Mission Bay
57,4,2.0,"44 Godden Crescent, Auckland",420 mÂ²,2150000,-36.8587685,174.8284616,7006178,39,39,33,24,27,27,Mission Bay,174,7006178,4.0,950.0,189,141100,Mission Bay
58,3,2.0,"20 Eversleigh Road Belmont, Auckland",481,1325000,-36.8022939,174.78551330000002,7003315,36,9,12,18,21,12,Belmont,114,7003315,2.0,914.0,105,129300,Belmont (Auckland)
59,3,1.0,"34a Ascot Avenue Remuera, Auckland",279,1220000,-36.8839242,174.80260249999998,7005999,27,21,15,21,18,24,Remuera,120,7005999,4.0,955.0,120,141000,Remuera South
60,3,1.0,"2/4 Nerissa Place Randwick Park, Auckland",120,630000,-37.0230935,174.9208854,7009958,54,21,21,15,9,9,Randwick Park,120,7009958,10.0,1255.0,126,161000,Randwick Park East
61,4,2.0,"31 Rapallo Place Farm Cove, Auckland",1037,1400000,-36.8949914,174.8937769,7006737,54,21,30,27,21,24,Farm Cove,192,7006737,4.0,949.0,180,148400,Farm Cove
62,4,3.0,"37b Kelvin Road Remuera, Auckland",202,1340000,-36.8763644,174.8190155,7006075,54,12,27,30,24,45,Remuera,192,7006075,3.0,922.0,189,142400,Remuera East
63,4,2.0,"46 Waiatarua Road Remuera, Auckland",1031,2450000,-36.8762123,174.8199745,7006075,54,12,27,30,24,45,Remuera,192,7006075,3.0,922.0,189,142400,Remuera East
64,4,2.0,"46 Waiatarua Road Remuera, Auckland",1031,2450000,-36.8762123,174.8199745,7006075,54,12,27,30,24,45,Remuera,192,7006075,3.0,922.0,189,142400,Remuera East
65,3,1.0,"6 Dorendia Place Clendon Park, Auckland",602,530000,-37.0252348,174.8630015,7009471,105,48,42,27,30,12,Clendon Park,213,7009471,10.0,1189.0,267,158700,Clendon Park North
66,4,2.0,"63 John Street Pukekohe, Auckland",810,730000,-37.213396200000005,174.9054744,7010539,48,15,12,27,27,36,Pukekohe,186,7010539,2.0,911.0,168,166100,Pukekohe Hospital
67,3,1.0,"70 Rimu Street New Lynn, Auckland",475,810000,-36.903786,174.6686326,7004296,30,21,27,24,12,21,New Lynn,120,7004296,6.0,988.0,138,132600,New Lynn North West
68,3,1.0,"52 Easton Park Parade Glenfield, Auckland",736,1170000,-36.7780575,174.7153418,7002617,45,42,30,18,15,30,Glenfield,162,7002617,4.0,955.0,174,122100,Bayview South
69,3,1.0,"7a Eulogy Place Randwick Park, Auckland",110,540000,-37.0289075,174.9155234,7009880,54,18,18,18,9,6,Randwick Park,96,7009880,10.0,1162.0,123,161300,Randwick Park West
70,4,1.0,"6/25 Solveig Place Randwick Park, Auckland",99,485000,-37.02979929999999,174.911026,7009882,93,66,39,24,18,9,Randwick Park,246,7009882,10.0,1198.0,243,161300,Randwick Park West
71,3,2.0,"2/13a Easter Parade Glen Eden, Auckland",153,790000,-36.9208765,174.6304169,7007125,72,24,30,33,33,51,Glen Eden,219,7007125,3.0,935.0,234,130100,Glen Eden Rosier
72,5,3.0,"5a Abbotts Way Remuera, Auckland",245,1240000,-36.8888684,174.8125681,7006106,57,42,45,42,9,30,Remuera,210,7006106,2.0,906.0,228,143100,Remuera Abbotts Park
73,4,1.0,"4 Marua Road, Auckland",2567 mÂ²,2725000,-36.889369,174.813201,7006106,57,42,45,42,9,30,Ellerslie,210,7006106,2.0,906.0,228,143100,Remuera Abbotts Park
74,3,1.0,"966 Kaipara Flats Road Kaipara Flats, Auckland",1500,680000,-36.406573200000004,174.5450829,7001269,54,9,18,30,30,33,Kaipara Flats,138,7001269,4.0,938.0,168,111200,Puhoi Valley
75,3,2.0,"37 Jaemont Avenue Te Atatu South, Auckland",885,860000,-36.8646972,174.6521841,7004112,33,30,15,33,27,21,Te Atatu South,135,7004112,7.0,1000.0,162,127000,Te Atatu South-Central
76,4,3.0,"10 Sussex Street Grey Lynn, Auckland",480,2275000,-36.8625187,174.7474227,7005129,21,30,27,24,18,21,Grey Lynn,117,7005129,3.0,920.0,147,132800,Grey Lynn Central
77,4,2.0,"50b Camp Road Mount Wellington, Auckland",377,850000,-36.9314956,174.8467009,7008343,51,57,42,27,30,39,Mount Wellington,255,7008343,7.0,1027.0,234,149100,Mount Wellington South West
78,3,1.0,"68 Walters Road Mount Wellington, Auckland",688,780000,-36.931371,174.8475282,7008343,51,57,42,27,30,39,Mount Wellington,255,7008343,7.0,1027.0,234,149100,Mount Wellington South West
79,6,3.0,"32 Red Hills Road Massey, Auckland",10557,1945000,-36.8395657,174.5907986,7003463,42,24,15,30,27,33,Massey,153,7003463,5.0,958.0,180,120100,Birdwood West
80,2,1.0,"41 Ballarat Street Ellerslie, Auckland",405,1000000,-36.895017100000004,174.8242295,7006236,42,15,48,39,12,24,Ellerslie,171,7006236,4.0,940.0,186,145300,Mount Wellington North West
81,3,2.0,"17a Foxlaw Street Randwick Park, Auckland",561,710000,-37.0223681,174.92095319999999,7009955,87,24,33,39,21,27,Randwick Park,210,7009955,8.0,1031.0,231,161000,Randwick Park East
82,4,2.0,"30 Kuaka Drive Takanini, Auckland",255,810000,-37.0414044,174.9349884,7010021,75,72,66,33,15,15,Takanini,15,7010021,3.0,927.0,276,162100,Takanini South
83,5,3.0,"144 Arran Point Parade Orewa, Auckland",519,540000,-36.5930625,174.6780098,7001409,0,0,0,0,0,0,Orewa,27,7001409,7.0,1028.0,18,112900,Orewa South
84,4,2.0,"106 Godfrey Drive Orewa, Auckland",650,590000,-36.590886499999996,174.66932,7001409,0,0,0,0,0,0,Orewa,27,7001409,7.0,1028.0,18,112900,Orewa South
85,4,2.0,"135 Godfrey Drive Orewa, Auckland",602,1075000,-36.590886499999996,174.66932,7001409,0,0,0,0,0,0,Orewa,27,7001409,7.0,1028.0,18,112900,Orewa South
86,5,3.0,"17 Davey Crescent Orewa, Auckland",650,1250000,-36.5903256,174.6681286,7001409,0,0,0,0,0,0,Orewa,27,7001409,7.0,1028.0,18,112900,Orewa South
87,5,3.0,"32 Cassidy Drive Orewa, Auckland",519,1225000,-36.5937888,174.6739169,7001409,0,0,0,0,0,0,Orewa,27,7001409,7.0,1028.0,18,112900,Orewa South
88,5,3.0,"130 Arran Point Parade Orewa, Auckland",522,540000,-36.5930625,174.6780098,7001409,0,0,0,0,0,0,Orewa,27,7001409,7.0,1028.0,18,112900,Orewa South
89,5,3.0,"7 Maka Terrace Orewa, Auckland",651,1260000,-36.5936147,174.67732469999999,7001409,0,0,0,0,0,0,Orewa,27,7001409,7.0,1028.0,18,112900,Orewa South
90,4,2.0,"111 Godfrey Drive Orewa, Auckland",559,1050000,-36.590886499999996,174.66932,7001409,0,0,0,0,0,0,Orewa,27,7001409,7.0,1028.0,18,112900,Orewa South
91,5,3.0,"16 Gospel Heights (arrowsmith Dr) Flat Bush, Auckland",420,1200000,-36.9861529,174.9072372,7009106,45,48,30,18,24,24,Flat Bush,90,7009106,2.0,913.0,192,158300,Hilltop (Auckland)
92,3,2.0,"25 Porter Crescent Helensville, Auckland",472,720000,-36.677469200000004,174.4522649,7001739,33,24,9,15,24,48,Helensville,138,7001739,7.0,1006.0,150,112400,Helensville
93,3,1.0,"14 Stainton Place Otara, Auckland",1067,580000,-36.9563698,174.8892654,7008844,45,27,12,15,15,15,Otara,123,7008844,10.0,1357.0,132,155100,Otara East
94,3,1.0,"20 Blampied Road Otara, Auckland",726,570000,-36.955804799999996,174.8879416,7008844,45,27,12,15,15,15,Otara,123,7008844,10.0,1357.0,132,155100,Otara East
95,3,2.0,"627b Manukau Road Epsom, Auckland",251,1300000,-36.9047954,174.7739675,7007786,21,15,18,12,18,18,Epsom,93,7007786,4.0,942.0,108,142600,Royal Oak West (Auckland)
96,5,2.0,"1/43 Shanaway Rise Hillcrest, Auckland",220,1225000,-36.800166299999994,174.7338294,7002953,42,33,21,21,6,18,Hillcrest,117,7002953,5.0,976.0,141,125800,Hillcrest West (Auckland)
97,5,3.0,"18 Coolaghy Drive Flat Bush, Auckland",420,1250000,-36.971777100000004,174.918647,7009239,39,21,30,18,9,12,Flat Bush,114,7009239,3.0,930.0,129,158100,Ormiston South
98,4,2.0,"30 Glenelg Road Red Beach, Auckland",1467,970000,-36.6109852,174.7127236,7001568,24,12,15,12,18,42,Red Beach,132,7001568,4.0,946.0,132,114000,Red Beach East
99,4,1.0,"40 Freeland Avenue Mount Roskill, Auckland",701,1000000,-36.915799799999995,174.73439419999997,7007615,42,33,24,18,12,21,Mount Roskill,153,7007615,9.0,1098.0,150,140700,Mount Roskill Central-South
100,4,2.0,"121 Harbourside Drive Karaka, Auckland",826,980000,-37.0678773,174.9257112,7009995,60,21,48,39,27,30,Karaka,126,7009995,1.0,871.0,219,162500,Hingaia
101,4,2.0,"157 Harbourside Drive Karaka, Auckland",743,990000,-37.0650699,174.92475890000003,7009995,60,21,48,39,27,30,Karaka,126,7009995,1.0,871.0,219,162500,Hingaia
102,3,1.0,"56a Orion Street Papakura, Auckland",272,680000,-37.07187879999999,174.9563186,7010203,99,48,30,21,24,15,Papakura,183,7010203,10.0,1194.0,240,163600,Papakura Massey Park
103,6,2.0,"58a Coxhead Road Manurewa, Auckland",672,1030000,-37.031105100000005,174.89252319999997,7009684,57,51,18,15,21,15,Manurewa,168,7009684,9.0,1117.0,183,160600,Leabank
104,3,2.0,"31 West Lynn Road Titirangi, Auckland",772,920000,-36.921876700000006,174.6646886,7007317,57,15,24,27,30,36,Titirangi,171,7007317,4.0,938.0,183,135400,West Lynn
105,3,1.0,"79 Wellington Street Pukekohe, Auckland",318,600000,-37.2096583,174.8966255,7010504,45,42,18,33,27,33,Pukekohe,198,7010504,7.0,1028.0,201,165700,Rosa Birch Park
106,4,2.0,"28 Weldene Avenue Glenfield, Auckland",895,920000,-36.774209899999995,174.72523030000002,7002758,18,18,18,15,12,24,Glenfield,108,7002758,6.0,989.0,99,122700,Glenfield North
107,9,5.0,"54 Central Avenue Papatoetoe, Auckland",2028,1350000,-36.975488299999995,174.8644449,7008648,39,27,21,15,21,21,Papatoetoe,144,7008648,9.0,1105.0,147,156200,Papatoetoe South
108,3,1.0,"199 Balmoral Road Mount Eden, Auckland",371,900000,-36.8864339,174.74586090000003,7005199,57,33,36,30,18,15,Mount Eden,183,7005199,6.0,980.0,186,138100,Balmoral
109,2,2.0,"312-1 Kimiora Street Three Kings, Auckland",93,920000,-36.904282200000004,174.7588224,7005473,0,12,0,0,0,0,Three Kings,3,7005473,7.0,1000.0,30,141200,Three Kings East
110,3,2.0,"34 Kimiora Street Three Kings, Auckland",286,1340000,-36.9036375,174.75841880000002,7005473,0,12,0,0,0,0,Three Kings,3,7005473,7.0,1000.0,30,141200,Three Kings East
111,3,1.0,"6 Larch Street Avondale, Auckland",429,850000,-36.900007099999996,174.6938496,7004415,33,27,30,15,21,21,Avondale,147,7004415,6.0,984.0,153,135000,Avondale South (Auckland)
112,3,1.0,"58 Arodella Crescent Ranui, Auckland",623,630000,-36.8574435,174.60012680000003,7003539,60,30,18,15,15,27,Ranui,162,7003539,10.0,1150.0,171,123000,Ranui North
113,6,2.0,"264 Sunset Road Sunnynook, Auckland",479,1325000,-36.7502525,174.7350724,7002875,51,48,45,27,30,24,Windsor Park,207,7002875,4.0,952.0,222,121200,Sunnynook South
114,3,2.0,"53a Landscape Road Mount Eden, Auckland",113,1140000,-36.898097799999995,174.75660459999997,7005463,30,72,24,18,21,15,Mount Eden,165,7005463,5.0,975.0,174,139900,Mount Eden South
115,4,2.0,"15a Forrest Hill Road Milford, Auckland",469,1745000,-36.7781846,174.7508405,7003086,63,36,42,30,30,18,Milford,177,7003086,4.0,951.0,216,125500,Westlake
116,3,1.0,"35 Grand View Road Leigh, Auckland",898,740000,-36.2986271,174.79864840000002,7001158,18,6,9,12,27,48,Leigh,129,7001158,5.0,963.0,117,110400,Cape Rodney
117,3,2.0,"10 Barrister Avenue Mount Roskill, Auckland",370,1120000,-36.906797999999995,174.7543779,7005250,63,18,21,12,6,18,Mount Roskill,111,7005250,10.0,1213.0,129,140600,Three Kings West
118,3,2.0,"4/61 Birdwood Avenue Papatoetoe, Auckland",120,580000,-36.9779943,174.8681825,7008656,42,42,30,24,21,21,Papatoetoe,174,7008656,7.0,1004.0,186,156200,Papatoetoe South
119,3,1.0,"66d Woodglen Road Glen Eden, Auckland",422,670000,-36.915067,174.6456471,7007252,48,9,15,30,12,21,Glen Eden,147,7007252,6.0,989.0,144,130900,Glen Eden Woodglen
120,4,3.0,"68 Glen Marine Parade Glendene, Auckland",868,800000,-36.8820848,174.6567039,7004220,45,27,33,24,15,30,Glendene,165,7004220,8.0,1040.0,180,128900,Glendene North
121,3,1.0,"7 Le Havre Place Takanini, Auckland",880,580000,-37.039314000000005,174.92106299999998,7009970,33,51,24,15,12,24,Takanini,168,7009970,9.0,1113.0,150,162000,Takanini West
122,4,2.0,"152 Grey Street Onehunga, Auckland",690,1175000,-36.9175628,174.7935673,7007983,66,33,48,36,27,33,Onehunga,207,7007983,5.0,956.0,237,145600,Te Papapa
123,4,3.0,"1 Taupinga Way Takanini, Auckland",238,800000,-37.0443323,174.927343,7010024,60,66,72,27,21,9,Takanini,3,7010024,3.0,921.0,249,162100,Takanini South
124,4,2.0,"60 Hill Street Onehunga, Auckland",569,1325000,-36.920718,174.78031869999998,7007906,21,21,15,18,27,27,Onehunga,135,7007906,8.0,1033.0,132,144100,Onehunga West
125,4,2.0,"181 Drury Hills Road Drury, Auckland",8000,1510000,-37.116236900000004,174.978964,7010270,39,27,18,27,45,69,Drury,222,7010270,1.0,893.0,219,164600,Drury Rural
126,4,3.0,"115 Macwhinney Drive Drury, Auckland",8129,1620000,-37.1206153,174.9833398,7010270,39,27,18,27,45,69,Drury,222,7010270,1.0,893.0,219,164600,Drury Rural
127,3,1.0,"34 Queensway Three Kings, Auckland",447,1360000,-36.9069089,174.76022849999998,7005474,51,36,18,24,27,36,Three Kings,174,7005474,4.0,938.0,189,141200,Three Kings East
128,4,2.0,"7 Caram Place Birkenhead, Auckland",744,920000,-36.807162,174.71120390000002,7002670,36,15,30,21,21,3,Birkenhead,117,7002670,2.0,902.0,129,125200,Birkenhead West
129,3,1.0,"5 Charlotte Street Stanmore Bay, Auckland",630,870000,-36.6246599,174.7297045,7001611,72,27,18,30,33,30,Stanmore Bay,186,7001611,4.0,941.0,213,114600,Stanmore Bay West
130,3,1.0,"275 Puhinui Road Papatoetoe, Auckland",415,660000,-36.991306200000004,174.84849640000002,7009392,45,45,30,21,18,24,Papatoetoe,165,7009392,8.0,1048.0,183,155900,Papatoetoe South West
131,3,1.0,"1/25 Abraham Place St Johns, Auckland",93,850000,-36.8736688,174.8480004,7006441,36,27,42,21,6,15,Saint Johns,129,7006441,6.0,991.0,147,144500,Saint Johns East
132,3,2.0,"35 Birkdale Road Birkdale, Auckland",804,1050000,-36.8046583,174.7047238,7002550,30,36,33,21,24,18,Birkdale,150,7002550,3.0,935.0,162,124400,Birkdale South
133,2,1.0,"51 Clarence Street Ponsonby, Auckland",323,1625000,-36.8481167,174.73943,7004881,39,33,27,33,33,21,Ponsonby,162,7004881,5.0,962.0,186,131200,Ponsonby East
134,3,2.0,"3 Fallsbrook Lane Mangere Bridge, Auckland",810,1625000,-36.9469952,174.77865680000002,7007923,39,18,36,18,24,51,Mangere Bridge,159,7007923,4.0,948.0,189,146800,Mangere Bridge
135,3,2.0,"34 Parry Road Mount Wellington, Auckland",728,910000,-36.933223100000006,174.84677019999998,7008462,15,30,21,12,9,15,Mount Wellington,102,7008462,8.0,1030.0,93,149100,Mount Wellington South West
136,4,3.0,"8 Wawatai Drive Karaka, Auckland",580,1175000,-37.0800841,174.9260771,7010002,81,15,51,45,21,36,Karaka,117,7010002,1.0,853.0,249,163400,Karaka Lakes
137,2,2.0,"2/18 Cleary Road Panmure, Auckland",140,790000,-36.9011618,174.8510364,7006467,21,39,21,12,9,9,Panmure,96,7006467,8.0,1029.0,108,147100,Panmure East
